iteration,loss,train_acc,test_acc_eval,lr
1000,0.4095,0.8471,0.8446,0.010000
2000,0.2608,0.8810,0.8726,0.010000
3000,0.3492,0.9037,0.8912,0.010000
4000,0.2911,0.9117,0.8944,0.010000
5000,0.1966,0.9167,0.8970,0.010000
6000,0.3520,0.9282,0.9039,0.010000
7000,0.1971,0.9337,0.9080,0.010000
8000,0.1449,0.9365,0.9103,0.010000
9000,0.2614,0.9366,0.9096,0.010000
10000,0.2207,0.9420,0.9109,0.010000
11000,0.1748,0.9429,0.9118,0.010000
12000,0.2413,0.9433,0.9105,0.010000
13000,0.1890,0.9466,0.9144,0.010000
14000,0.1572,0.9484,0.9143,0.010000
15000,0.1147,0.9486,0.9140,0.010000
16000,0.1571,0.9503,0.9158,0.010000
17000,0.1388,0.9519,0.9192,0.010000
18000,0.1174,0.9522,0.9175,0.010000
19000,0.1559,0.9540,0.9187,0.010000
20000,0.2019,0.9535,0.9193,0.010000
21000,0.1349,0.9543,0.9187,0.010000
22000,0.1454,0.9546,0.9192,0.010000
23000,0.1561,0.9543,0.9184,0.010000
24000,0.1111,0.9540,0.9187,0.010000
25000,0.1473,0.9545,0.9189,0.010000
26000,0.1656,0.9557,0.9193,0.010000
27000,0.1410,0.9553,0.9185,0.010000
28000,0.1529,0.9574,0.9208,0.010000
29000,0.1396,0.9576,0.9201,0.010000
30000,0.1395,0.9572,0.9199,0.010000
31000,0.1370,0.9586,0.9218,0.010000
32000,0.1584,0.9581,0.9214,0.010000
33000,0.1178,0.9592,0.9205,0.010000
34000,0.1566,0.9590,0.9206,0.010000
35000,0.0852,0.9588,0.9205,0.010000
36000,0.1228,0.9591,0.9210,0.010000
37000,0.2129,0.9600,0.9210,0.010000
38000,0.1080,0.9591,0.9189,0.010000
39000,0.0975,0.9586,0.9178,0.010000
40000,0.1059,0.9592,0.9181,0.010000
41000,0.1489,0.9594,0.9181,0.010000
42000,0.1164,0.9601,0.9202,0.010000
43000,0.0842,0.9593,0.9188,0.008000
44000,0.1713,0.9598,0.9187,0.008000
45000,0.1513,0.9601,0.9203,0.008000
46000,0.1427,0.9596,0.9204,0.008000
47000,0.1079,0.9593,0.9193,0.008000
48000,0.1242,0.9600,0.9193,0.008000
49000,0.1578,0.9603,0.9187,0.008000
50000,0.1732,0.9600,0.9181,0.008000
