iteration,loss,train_acc,test_acc_eval,lr
1000,0.2780,0.9247,0.9249,0.010000
2000,0.1894,0.9462,0.9416,0.010000
3000,0.0995,0.9614,0.9522,0.010000
4000,0.1047,0.9705,0.9591,0.010000
5000,0.0852,0.9762,0.9626,0.010000
6000,0.0846,0.9789,0.9660,0.010000
7000,0.1090,0.9818,0.9662,0.010000
8000,0.0355,0.9833,0.9672,0.010000
9000,0.0794,0.9842,0.9652,0.010000
10000,0.0717,0.9858,0.9668,0.010000
11000,0.0533,0.9870,0.9676,0.010000
12000,0.0763,0.9875,0.9683,0.010000
13000,0.0683,0.9891,0.9689,0.010000
14000,0.0552,0.9902,0.9686,0.010000
15000,0.0422,0.9903,0.9686,0.010000
16000,0.0360,0.9906,0.9689,0.010000
17000,0.0420,0.9905,0.9696,0.010000
18000,0.0396,0.9906,0.9686,0.010000
19000,0.0475,0.9906,0.9684,0.010000
20000,0.0413,0.9915,0.9697,0.010000
21000,0.0219,0.9923,0.9700,0.010000
22000,0.0317,0.9926,0.9698,0.010000
23000,0.0426,0.9926,0.9695,0.010000
24000,0.0252,0.9925,0.9686,0.010000
25000,0.0359,0.9925,0.9690,0.010000
26000,0.0420,0.9921,0.9691,0.010000
27000,0.0679,0.9932,0.9698,0.010000
28000,0.0594,0.9935,0.9695,0.010000
29000,0.0132,0.9937,0.9700,0.010000
30000,0.0242,0.9934,0.9680,0.010000
31000,0.0426,0.9940,0.9691,0.010000
32000,0.0423,0.9937,0.9691,0.010000
33000,0.0437,0.9937,0.9697,0.008000
34000,0.0262,0.9941,0.9692,0.008000
35000,0.0334,0.9943,0.9695,0.008000
36000,0.0324,0.9942,0.9703,0.008000
37000,0.0457,0.9944,0.9698,0.008000
38000,0.0330,0.9944,0.9688,0.008000
39000,0.0254,0.9944,0.9691,0.008000
40000,0.0850,0.9944,0.9696,0.008000
41000,0.0320,0.9946,0.9690,0.008000
42000,0.0545,0.9947,0.9696,0.008000
43000,0.0666,0.9949,0.9691,0.008000
44000,0.0578,0.9949,0.9694,0.008000
45000,0.0135,0.9948,0.9698,0.008000
46000,0.0394,0.9949,0.9699,0.008000
47000,0.0330,0.9950,0.9696,0.008000
48000,0.0415,0.9949,0.9689,0.008000
49000,0.0489,0.9947,0.9685,0.006400
50000,0.0462,0.9950,0.9697,0.006400
