iteration,loss,train_acc,test_acc_eval,lr
1000,0.3934,0.8487,0.8529,0.010000
2000,0.2992,0.8887,0.8820,0.010000
3000,0.2867,0.9101,0.9000,0.010000
4000,0.1732,0.9224,0.9074,0.010000
5000,0.1415,0.9353,0.9167,0.010000
6000,0.1749,0.9422,0.9166,0.010000
7000,0.2047,0.9445,0.9171,0.010000
8000,0.1801,0.9508,0.9207,0.010000
9000,0.1330,0.9543,0.9224,0.010000
10000,0.0877,0.9561,0.9215,0.010000
11000,0.1795,0.9587,0.9223,0.010000
12000,0.1133,0.9612,0.9209,0.010000
13000,0.0981,0.9633,0.9222,0.010000
14000,0.1076,0.9663,0.9221,0.010000
15000,0.0675,0.9674,0.9229,0.010000
16000,0.1227,0.9681,0.9239,0.010000
17000,0.1011,0.9676,0.9235,0.010000
18000,0.1622,0.9707,0.9238,0.010000
19000,0.0893,0.9721,0.9235,0.010000
20000,0.0861,0.9706,0.9235,0.010000
21000,0.0710,0.9726,0.9242,0.010000
22000,0.0723,0.9738,0.9251,0.010000
23000,0.0774,0.9744,0.9252,0.010000
24000,0.1131,0.9746,0.9261,0.010000
25000,0.0955,0.9762,0.9261,0.010000
26000,0.0547,0.9772,0.9280,0.010000
27000,0.0641,0.9774,0.9274,0.010000
28000,0.1085,0.9774,0.9262,0.010000
29000,0.1049,0.9784,0.9265,0.010000
30000,0.0794,0.9788,0.9261,0.010000
31000,0.0646,0.9793,0.9271,0.010000
32000,0.0532,0.9797,0.9263,0.010000
33000,0.0955,0.9792,0.9271,0.010000
34000,0.1082,0.9801,0.9258,0.010000
35000,0.0663,0.9802,0.9256,0.010000
36000,0.1021,0.9808,0.9253,0.010000
37000,0.0820,0.9809,0.9271,0.010000
38000,0.0489,0.9813,0.9271,0.008000
39000,0.0822,0.9813,0.9259,0.008000
40000,0.0820,0.9813,0.9266,0.008000
