iteration,loss,train_acc,test_acc_eval,lr
1000,0.0977,0.9642,0.9581,0.010000
2000,0.0740,0.9851,0.9722,0.010000
3000,0.0145,0.9949,0.9743,0.010000
4000,0.0096,0.9991,0.9793,0.010000
5000,0.0064,0.9999,0.9800,0.010000
6000,0.0030,1.0000,0.9798,0.010000
7000,0.0047,1.0000,0.9806,0.010000
8000,0.0025,1.0000,0.9804,0.010000
9000,0.0015,1.0000,0.9801,0.010000
10000,0.0013,1.0000,0.9813,0.010000
11000,0.0009,1.0000,0.9813,0.010000
12000,0.0005,1.0000,0.9810,0.010000
13000,0.0005,1.0000,0.9806,0.010000
14000,0.0006,1.0000,0.9813,0.010000
15000,0.0004,1.0000,0.9812,0.010000
16000,0.0003,1.0000,0.9808,0.010000
17000,0.0002,1.0000,0.9805,0.010000
18000,0.0002,1.0000,0.9807,0.010000
19000,0.0002,1.0000,0.9814,0.010000
20000,0.0002,1.0000,0.9811,0.010000
21000,0.0002,1.0000,0.9812,0.010000
22000,0.0002,1.0000,0.9808,0.010000
23000,0.0002,1.0000,0.9817,0.010000
24000,0.0001,1.0000,0.9818,0.010000
25000,0.0001,1.0000,0.9814,0.010000
26000,0.0001,1.0000,0.9821,0.010000
27000,0.0001,1.0000,0.9813,0.010000
28000,0.0001,1.0000,0.9813,0.010000
29000,0.0001,1.0000,0.9805,0.010000
30000,0.0002,1.0000,0.9806,0.010000
31000,0.0001,1.0000,0.9812,0.010000
32000,0.0001,1.0000,0.9809,0.010000
33000,0.0001,1.0000,0.9812,0.010000
34000,0.0001,1.0000,0.9811,0.010000
35000,0.0001,1.0000,0.9811,0.010000
36000,0.0001,1.0000,0.9809,0.010000
37000,0.0001,1.0000,0.9810,0.010000
38000,0.0001,1.0000,0.9814,0.008000
39000,0.0001,1.0000,0.9812,0.008000
40000,0.0001,1.0000,0.9811,0.008000
41000,0.0000,1.0000,0.9810,0.008000
42000,0.0001,1.0000,0.9813,0.008000
43000,0.0001,1.0000,0.9821,0.008000
44000,0.0001,1.0000,0.9819,0.008000
45000,0.0001,1.0000,0.9816,0.008000
46000,0.0001,1.0000,0.9817,0.008000
47000,0.0001,1.0000,0.9818,0.008000
48000,0.0001,1.0000,0.9817,0.008000
49000,0.0001,1.0000,0.9812,0.008000
50000,0.0001,1.0000,0.9813,0.008000
